DateTime,name,value
2019-01-01T01:00:00.0,gen-1233,-0.0
2019-01-01T00:00:00.0,gen-1534,1.0
2019-01-01T01:00:00.0,gen-1534,-0.0
2019-01-01T00:00:00.0,gen-1474,1.0
2019-01-01T01:00:00.0,gen-1474,-0.0
2019-01-01T00:00:00.0,gen-848,1.0
2019-01-01T01:00:00.0,gen-848,-0.0
2019-01-01T00:00:00.0,gen-953,1.0
2019-01-01T01:00:00.0,gen-953,-0.0
2019-01-01T00:00:00.0,gen-525,0.0
2019-01-01T01:00:00.0,gen-525,-0.0
2019-01-01T00:00:00.0,gen-1397,1.0
2019-01-01T01:00:00.0,gen-1397,-0.0
2019-01-01T00:00:00.0,gen-981,1.0
2019-01-01T01:00:00.0,gen-981,-0.0
2019-01-01T00:00:00.0,gen-583,1.0
2019-01-01T01:00:00.0,gen-583,-0.0
2019-01-01T00:00:00.0,gen-520,1.0
2019-01-01T01:00:00.0,gen-520,-0.0
2019-01-01T00:00:00.0,gen-1768,1.0
2019-01-01T01:00:00.0,gen-1768,-0.0
2019-01-01T00:00:00.0,gen-2033,1.0
2019-01-01T01:00:00.0,gen-2033,-0.0
2019-01-01T00:00:00.0,gen-933,1.0
2019-01-01T01:00:00.0,gen-933,-0.0
2019-01-01T00:00:00.0,gen-482,1.0
2019-01-01T01:00:00.0,gen-482,-0.0
2019-01-01T00:00:00.0,gen-854,1.0
2019-01-01T01:00:00.0,gen-854,-0.0
2019-01-01T00:00:00.0,gen-396,1.0
2019-01-01T01:00:00.0,gen-396,-0.0
2019-01-01T00:00:00.0,gen-896,1.0
2019-01-01T01:00:00.0,gen-896,-0.0
2019-01-01T00:00:00.0,gen-957,1.0
2019-01-01T01:00:00.0,gen-957,-0.0
2019-01-01T00:00:00.0,gen-346,1.0
2019-01-01T01:00:00.0,gen-346,-0.0
2019-01-01T00:00:00.0,gen-1379,1.0
2019-01-01T01:00:00.0,gen-1379,-0.0
2019-01-01T00:00:00.0,gen-168,1.0
2019-01-01T01:00:00.0,gen-168,-0.0
2019-01-01T00:00:00.0,gen-631,1.0
2019-01-01T01:00:00.0,gen-631,-0.0
2019-01-01T00:00:00.0,gen-259,1.0
2019-01-01T01:00:00.0,gen-259,-0.0
2019-01-01T00:00:00.0,gen-348,1.0
2019-01-01T01:00:00.0,gen-348,-0.0
2019-01-01T00:00:00.0,gen-1935,1.0
2019-01-01T01:00:00.0,gen-1935,-0.0
2019-01-01T00:00:00.0,gen-1256,1.0
2019-01-01T01:00:00.0,gen-1256,-0.0
2019-01-01T00:00:00.0,gen-776,1.0
2019-01-01T01:00:00.0,gen-776,-0.0
2019-01-01T00:00:00.0,gen-834,1.0
2019-01-01T01:00:00.0,gen-834,-0.0
2019-01-01T00:00:00.0,gen-1245,1.0
2019-01-01T01:00:00.0,gen-1245,-0.0
2019-01-01T00:00:00.0,gen-729,1.0
2019-01-01T01:00:00.0,gen-729,-0.0
2019-01-01T00:00:00.0,gen-1167,1.0
2019-01-01T01:00:00.0,gen-1167,-0.0
2019-01-01T00:00:00.0,gen-239,0.0
2019-01-01T01:00:00.0,gen-239,-0.0
2019-01-01T00:00:00.0,gen-342,0.0
2019-01-01T01:00:00.0,gen-342,0.0
2019-01-01T00:00:00.0,gen-967,1.0
2019-01-01T01:00:00.0,gen-967,-0.0
2019-01-01T00:00:00.0,gen-686,1.0
2019-01-01T01:00:00.0,gen-686,-0.0
2019-01-01T00:00:00.0,gen-524,1.0
2019-01-01T01:00:00.0,gen-524,-0.0
2019-01-01T00:00:00.0,gen-1072,1.0
2019-01-01T01:00:00.0,gen-1072,-0.0
2019-01-01T00:00:00.0,gen-864,1.0
2019-01-01T01:00:00.0,gen-864,-0.0
